id,lat,lng,spoc_name,freezer_model,spoc_number
5000,73.63050663,18.76839199,Kumar,Whirlpool,9165896325
5001,74.93153088,27.07825409,Kumar,Whirlpool,9165896325
5002,78.641218,16.1280866,Vimal,Ken,8863254195
5003,74.79818707,13.11774257,Gopi,Whirlpool,7879214563
5004,76.21888715,29.18368082,Hari,Ken,9945112589
5005,75.40329904,14.35994731,Vimal,Ken,8863254195
5006,79.08997217,20.45850079,John,Voltas,9894551122
5007,93.4840728,27.46768051,Kumar,LG,9165896325
5008,74.79911298,15.08040443,Arun,Whirlpool,9695234455
5009,73.45839817,24.55400237,Arun,LG,9695234455
5010,81.75955882,22.95395682,John,Ken,9894551122
5011,79.66039525,19.80492902,John,Whirlpool,9894551122
5012,75.83516241,25.92544878,Hari,Ken,9945112589
5013,78.75884242,27.4800364,Vimal,Ken,8863254195
5014,86.11200057,24.67189027,Hari,Whirlpool,9945112589
5015,77.96823026,17.89757874,Gopi,Whirlpool,7879214563
5016,75.75722481,21.31317595,Gopi,LG,7879214563
5017,74.0868031,15.44046139,Arun,LG,9695234455
5018,82.47168868,26.00506856,Kumar,Voltas,9165896325
5019,71.22433648,25.69505719,Hari,LG,9945112589
5020,95.01330174,27.83134775,Arun,Ken,9695234455
5021,78.52792064,25.20769023,John,Ken,9894551122
5022,83.5076719,18.70611873,Sam,Voltas,8687213212
5023,75.24638834,27.78114043,John,Ken,9894551122
5024,77.69429565,13.68506845,Arun,Whirlpool,9695234455
5025,80.67073892,25.83082109,Arun,LG,9695234455
5026,84.46987547,20.27061551,Vimal,Ken,8863254195
5027,83.22998186,25.69924582,Kumar,Voltas,9165896325
5028,79.82782811,14.80137469,Vimal,LG,8863254195
5029,77.24433375,9.39085102,Kumar,Ken,9165896325
5030,84.70659143,25.67555289,Sam,Ken,8687213212
5031,74.15303359,29.06137151,Arun,LG,9695234455
5032,79.03486595,20.47441228,Hari,Voltas,9945112589
5033,78.89156956,12.15093725,John,LG,9894551122
5034,84.30848332,25.87200148,John,Ken,9894551122
5035,71.86432488,23.75991189,Sam,Ken,8687213212
5036,74.68231847,26.30435131,Hari,LG,9945112589
5037,79.98013046,13.05640838,Kumar,Ken,9165896325
5038,74.34311456,22.43972546,Arun,Voltas,9695234455
5039,77.36181917,30.83685989,Sam,LG,8687213212
5040,77.93077587,23.79746064,John,Ken,9894551122
5041,77.18751986,20.89973686,Gopi,LG,7879214563
5042,78.05793317,19.50756295,Arun,LG,9695234455
5043,80.90727312,24.17772032,Sam,Whirlpool,8687213212
5044,77.56886047,26.04727542,John,Whirlpool,9894551122
5045,78.67826152,14.52482627,Kumar,Voltas,9165896325
5046,76.90629018,13.5806116,Hari,LG,9945112589
5047,74.27680702,19.17652178,Gopi,Whirlpool,7879214563
5048,92.37767467,24.32463435,Arun,Whirlpool,9695234455
5049,78.30470102,14.53937834,Vimal,Ken,8863254195
